YYYYMM,Hydro,Coal,Gas,Diesel,Nuclear,RES,Total
196612.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196701.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196702.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196703.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196704.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196705.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196706.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196707.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196708.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196709.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196710.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196711.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196712.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196801.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196802.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196803.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196804.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196805.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196806.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196807.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196808.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196809.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196810.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196811.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196812.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196901.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196902.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196903.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
196904.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
196905.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
196906.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
196907.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
196908.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
196909.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
